faculty_name,dblp_pid,designation,publication_count,first_publication_year,latest_publication_year,journal_articles,conference_papers
Satish Narayana Srirama,09/1571,Professor,197,2006,2025,111,0
Bapi Raju Surampudi,50/1424,Professor,139,1990,2025,55,0
Arun K. Pujari,95/6184,Professor,113,1983,2025,58,0
Alok Singh,01/1744-1,Professor,97,2005,2025,67,0
Atul Negi,73/4368,Professor,91,1995,2025,25,0
Vineet Padmanabhan,98/255,Professor,87,2000,2025,34,0
Chillarige Raghavendra Rao,07/5281-1,Senior Professor,83,2005,2025,22,0
Siba K. Udgata,04/3517,Professor,76,2003,2024,26,0
Arun Agarwal,97/3869,Senior Professor,74,1990,2025,33,0
Chakravarthy Bhagvati,91/1525,Professor,60,1994,2025,18,0
S. Durga Bhavani,63/2890,Professor,58,2003,2026,23,0
Hrushikesha Mohanty,74/5678,Professor,56,1986,2023,2,0
Rajeev Wankar,31/566,Professor,50,2008,2025,18,0
P. S. V. S. Sai Prasad,23/2953,Professor,37,2003,2026,15,0
V. Ch. Venkaiah,66/8044,Professor,35,1990,2025,29,0
Anjeneya Swami Kare,138/0168,Assistant Professor,33,2013,2026,19,0
Arun Kumar Das,263/4582-1,Assistant Professor,23,2019,2026,11,0
Nagender Kumar Suryadevara,21/10736,Professor,23,2012,2024,9,0
T. Sobha Rani,51/1349,Associate Professor,23,2003,2024,6,0
Salman Abdul Moiz,98/6017,Professor,22,2007,2026,10,0
Avatharam Ganivada,06/10134,Assistant Professor,19,2010,2025,11,0
Narayana Murthy Kavi,94/4013,Professor,15,2004,2024,5,0
Anupama Potluri,16/5380,Assistant Professor,14,1995,2017,2,0
K. Swarupa Rani,77/10593,Professor,14,2011,2026,4,0
Nekuri Naveen,55/8654,Assistant Professor,14,2009,2025,5,0
Wilson Naik Bhukya,05/2858,Associate Professor,14,2007,2025,2,0
Y. V. Subba Rao,50/971,Associate Professor,13,2006,2024,9,0
Rajendra Prasad Lal,31/9532,Assistant Professor,12,2007,2025,5,0
Saifulla Md. Abdul,309/7711,Assistant Professor,11,2021,2026,9,0
Digambar Pawar,327/2466,Professor,10,2021,2025,8,0
N. Rukma Rekha,83/9943,Professor,7,2011,2024,5,0
Battula Srinivasa Rao,338/9977,Professor,6,2023,2024,6,0
M. Nagamani,284/7780,Associate Professor,3,2020,2020,0,0
P. N. Girija,10/2362,Professor,3,2003,2010,0,0
