venue_name,venue_type,publication_count,first_year,latest_year
CoRR,journal,107,2005,2025
Appl. Soft Comput.,journal,20,2008,2025
Appl. Intell.,journal,19,2014,2025
"Multi-disciplinary Trends in Artificial Intelligence - 5th International
Workshop, MIWAI 2011, Hyderabad, India, December 7-9, 2011. Proceedings",conference,15,2011,2011
Softw. Pract. Exp.,journal,13,2015,2025
Inf. Sci.,journal,13,2007,2026
"Multi-disciplinary Trends in Artificial Intelligence - 16th International
Conference, MIWAI 2023, Hyderabad, India, July 21-22, 2023, Proceedings",conference,13,2023,2023
Pattern Recognit. Lett.,journal,12,1988,2019
Future Gener. Comput. Syst.,journal,11,2012,2025
Int. J. Netw. Secur.,journal,10,2010,2019
Eng. Appl. Artif. Intell.,journal,10,2010,2025
IEEE Access,journal,10,2021,2025
Expert Syst. Appl.,journal,9,2010,2026
Multim. Tools Appl.,journal,9,2020,2025
"Multi-disciplinary Trends in Artificial Intelligence - 8th International
Workshop, MIWAI 2014, Bangalore, India, December 8-10, 2014. Proceedings",conference,9,2014,2014
"2008 International Conference on Information Technology, ICIT '08,
Bhubaneswar, India, December 17-20, 2008",conference,8,2008,2008
Discret. Appl. Math.,journal,7,1983,2026
J. Syst. Softw.,journal,6,2014,2022
IACR Cryptol. ePrint Arch.,journal,6,2006,2022
Pattern Recognit.,journal,6,1999,2025
"Contemporary Computing - 5th International Conference, IC3 2012,
Noida, India, August 6-8, 2012. Proceedings",conference,6,2012,2012
"Big Data and Artificial Intelligence - 12th International Conference,
BDA 2024, Hyderabad, India, December 17-20, 2024, Proceedings",conference,6,2024,2024
"Pattern Recognition and Machine Intelligence - 8th International Conference,
PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part
I",conference,6,2019,2019
"2015 International Conference on Information Technology, ICIT 2015,
Bhubaneswar, India, December 21-23, 2015",conference,6,2015,2015
Int. J. Inf. Comput. Secur.,journal,5,2017,2025
Knowl. Based Syst.,journal,5,2020,2025
"Proceedings of the 3rd Indian International Conference on Artificial
Intelligence, Pune, India, December 17-19, 2007",conference,5,2007,2007
"International Conference on Machine Learning and Data Engineering,
ICMLDE 2023, Dehradun, India, 23-24 November 2023",conference,5,2023,2023
Theor. Comput. Sci.,journal,5,2011,2021
J. Supercomput.,journal,5,2018,2025
"Sixth International Conference on Contemporary Computing, IC3 2013,
Noida, India, August 8-10, 2013",conference,5,2013,2013
Neural Comput. Appl.,journal,5,1997,2023
Evol. Intell.,journal,5,2021,2024
IEEE Internet Things J.,journal,5,2020,2023
Soft Comput.,journal,5,2007,2016
"World Congress on Nature & Biologically Inspired Computing, NaBIC
2009, 9-11 December 2009, Coimbatore, India",conference,4,2009,2009
"Distributed Computing and Internet Technology, 6th International Conference,
ICDCIT 2010, Bhubaneswar, India, February 15-17, 2010. Proceedings",conference,4,2010,2010
Int. J. Comput. Sci. Appl.,journal,4,2008,2009
Int. J. Secur. Networks,journal,4,2018,2024
"Distributed Computing and Internet Technology - 14th International
Conference, ICDCIT 2018, Bhubaneswar, India, January 11-13, 2018,
Proceedings",conference,4,2018,2018
"Multi-disciplinary Trends in Artificial Intelligence - 10th International
Workshop, MIWAI 2016, Chiang Mai, Thailand, December 7-9, 2016,
Proceedings",conference,4,2016,2016
"2015 International Conference on Advances in Computing, Communications
and Informatics, ICACCI 2015, Kochi, India, August 10-13, 2015",conference,4,2015,2015
ACM Comput. Surv.,journal,4,2017,2023
Computing,journal,4,2022,2024
Int. J. Pervasive Comput. Commun.,journal,4,2011,2018
"Multi-disciplinary Trends in Artificial Intelligence, 6th International
Workshop, MIWAI 2012, Ho Chi Minh City, Vietnam, December 26-28,
2012. Proceedings",conference,4,2012,2012
Wirel. Pers. Commun.,journal,4,2017,2020
"Rough Sets and Knowledge Technology - 6th International Conference,
RSKT 2011, Banff, Canada, October 9-12, 2011. Proceedings",conference,4,2011,2011
"First International Conference on Computational Intelligence, Communication
Systems and Networks, CICSYN 2009, Indore, India, 23-25 July, 2009",conference,4,2009,2009
Int. J. Mach. Learn. Cybern.,journal,4,2012,2020
